exchange_name	campaign_id	viewers	buyers
ADMETA	178718	47	0
ADMETA	180636	2	0
ADMETA	182635	644	0
ADMETA	182658	20	0
ADMETA	185147	20	0
ADMETA	189132	29	0
ADMETA	189291	277	0
ADMETA	190007	247	0
ADMETA	190890	22	1
ADMETA	190894	17	0
ADMETA	191197	11	0
ADMETA	191212	10	0
ADMETA	191453	8	0
ADMETA	193505	11	0
ADMETA	193797	10	0
ADMETA	193918	44	0
ADMETA	194409	24	1
ADMETA	195162	3	0
ADMETA	195337	13	0
ADMETA	196537	11	0
ADMETA	197308	4	0
AdConductor	178718	23	0
AdConductor	180636	32	0
AdConductor	182060	20	0
AdConductor	182635	802	2
AdConductor	182658	400	0
AdConductor	185069	21	0
AdConductor	185147	1138	1
AdConductor	189132	319	0
AdConductor	189291	1270	0
AdConductor	190007	1141	5
AdConductor	190890	280	3
AdConductor	190894	1602	0
AdConductor	191197	455	0
AdConductor	191212	638	7
AdConductor	191453	400	3
AdConductor	193505	136	0
AdConductor	193797	1150	11
AdConductor	193918	3117	20
AdConductor	194409	1116	71
AdConductor	195162	243	0
AdConductor	195337	1692	7
AdConductor	196537	956	3
AdConductor	197308	4	0
AppNexus	178718	2418	3
AppNexus	180636	687	0
AppNexus	182060	584	0
AppNexus	182635	37885	19
AppNexus	182658	12371	5
AppNexus	185069	547	0
AppNexus	185147	12703	19
AppNexus	187433	65120	437
AppNexus	187879	31489	95
AppNexus	187977	29775	63
AppNexus	189132	21287	115
AppNexus	189291	40800	25
AppNexus	190007	41847	110
AppNexus	190890	16432	357
AppNexus	190894	12004	0
AppNexus	191197	10519	2
AppNexus	191212	17477	111
AppNexus	191453	16499	73
AppNexus	191485	9686	3
AppNexus	193505	5910	11
AppNexus	193797	23177	113
AppNexus	193918	41821	289
AppNexus	194409	38265	2112
AppNexus	195162	7175	4
AppNexus	195337	12010	11
AppNexus	196537	10276	14
AppNexus	197308	1665	4
BrightRoll	182249	7802	3
Casale	178718	1149	2
Casale	180636	334	0
Casale	182060	1087	0
Casale	182635	14485	10
Casale	182658	11658	13
Casale	185069	955	0
Casale	185147	9626	13
Casale	187433	37211	221
Casale	187879	17041	46
Casale	187977	15265	38
Casale	189132	8604	52
Casale	189291	91629	46
Casale	190007	21296	39
Casale	190890	10248	202
Casale	190894	15449	0
Casale	191197	14967	3
Casale	191212	5186	31
Casale	191453	6033	24
Casale	191485	13824	4
Casale	193505	1340	2
Casale	193797	5310	31
Casale	193918	20420	135
Casale	194409	7325	415
Casale	195162	724	0
Casale	195337	5212	10
Casale	196537	2922	3
Casale	197308	791	0
Criteo	178718	347	0
Criteo	180636	145	0
Criteo	182060	89	0
Criteo	182635	2601	2
Criteo	182658	959	0
Criteo	185069	91	0
Criteo	185147	904	0
Criteo	187433	6744	55
Criteo	187879	3952	14
Criteo	187977	2012	4
Criteo	189132	1259	8
Criteo	189291	11260	8
Criteo	190007	3248	8
Criteo	190890	914	27
Criteo	190894	3430	0
Criteo	191197	1481	0
Criteo	191212	3356	26
Criteo	191453	14356	81
Criteo	191485	845	0
Criteo	193505	146	0
Criteo	193797	11227	36
Criteo	193918	2812	31
Criteo	194409	1559	102
Criteo	195162	1737	2
Criteo	195337	1224	2
Criteo	196537	882	0
Criteo	197308	27	0
Geniee	178718	10	0
Geniee	180636	9	0
Geniee	182060	12	0
Geniee	182635	162	0
Geniee	182658	73	0
Geniee	185069	13	0
Geniee	185147	138	1
Geniee	189132	69	0
Geniee	189291	974	0
Geniee	190007	382	0
Geniee	190890	43	1
Geniee	190894	284	0
Geniee	191197	386	0
Geniee	191212	56	0
Geniee	191453	34	1
Geniee	193505	14	0
Geniee	193797	343	1
Geniee	193918	248	1
Geniee	194409	398	13
Geniee	195162	14	0
Geniee	195337	46	0
Geniee	196537	48	0
Geniee	197308	8	0
Google AdX	178718	511	2
Google AdX	180636	236	0
Google AdX	182060	532	0
Google AdX	182249	57	0
Google AdX	182635	10489	8
Google AdX	182658	5525	3
Google AdX	185069	467	0
Google AdX	185147	5475	10
Google AdX	187433	38271	248
Google AdX	187879	10420	32
Google AdX	187977	9199	20
Google AdX	189132	6540	35
Google AdX	189291	83758	47
Google AdX	190007	29593	73
Google AdX	190890	10383	195
Google AdX	190894	10101	0
Google AdX	191197	8933	2
Google AdX	191212	4651	27
Google AdX	191453	3226	9
Google AdX	191485	8804	4
Google AdX	193505	2310	4
Google AdX	193918	20367	139
Google AdX	194409	7098	402
Google AdX	195162	354	0
Google AdX	195337	3541	1
Google AdX	196537	3806	9
Google AdX	197308	304	1
Improve Digital	178718	5	0
Improve Digital	180636	1	0
Improve Digital	182060	3	0
Improve Digital	182635	91	0
Improve Digital	182658	19	0
