index	customers	buyers
1	773050	2579
2	395853	1513
3	240186	1037
4	159171	765
5	113019	524
6	84580	416
7	65073	351
8	51804	288
9	42158	230
10	34717	199
11	29155	154
12	25091	156
13	21472	119
14	18539	88
15	16567	107
16	14374	97
17	12833	71
18	11346	74
19	10335	71
20	9246	48
21	8313	45
22	7662	49
23	7239	45
24	6443	40
25	5909	32
26	5532	41
27	5030	29
28	4574	33
29	4269	17
30	4093	22
31	3860	23
32	3494	20
33	3277	23
34	3089	17
35	2926	23
36	2728	17
37	2602	15
38	2393	20
39	2333	18
40	2180	5
41	2059	9
42	1915	10
43	1874	12
44	1863	20
45	1698	12
46	1628	14
47	1540	14
48	1508	6
49	1413	11
50	1348	9
